epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.6469,0.22793,1,1,0.00402,0.000552711,0.000552711,0.000552711
2,46.2923,0.02989,1,1,0.00129,0.00105351,0.00105351,0.00105351
3,65.8357,0.03488,1,1,0.00083,0.0014993,0.0014993,0.0014993
4,85.5877,0.02263,1,1,0.00037,0.00141945,0.00141945,0.00141945
5,104.542,0.01042,1,1,0.00149,0.00133693,0.00133693,0.00133693
6,123.001,0.00783,1,1,0.00041,0.00125442,0.00125442,0.00125442
7,141.692,0.00141,1,1,0.00012,0.0011719,0.0011719,0.0011719
8,160.543,0.00496,1,1,0.0003,0.00108938,0.00108938,0.00108938
9,179.646,0.00665,1,1,2e-05,0.00100687,0.00100687,0.00100687
10,200.605,0.0025,1,1,2e-05,0.000924352,0.000924352,0.000924352
