epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,181.049,0.10162,1,1,0.00023,0.000555199,0.000555199,0.000555199
2,359.961,0.00996,1,1,0.0002,0.00105588,0.00105588,0.00105588
3,526.961,0.01598,1,1,0.00034,0.00150155,0.00150155,0.00150155
4,726.479,0.01129,1,1,0,0.00141945,0.00141945,0.00141945
5,902.751,0.00439,1,1,0,0.00133693,0.00133693,0.00133693
6,1073.85,0.00364,1,1,1e-05,0.00125442,0.00125442,0.00125442
7,1246.83,0.0018,1,1,0.00016,0.0011719,0.0011719,0.0011719
8,1412.82,0.00152,1,1,5e-05,0.00108938,0.00108938,0.00108938
9,1601.76,0.00116,1,1,0,0.00100687,0.00100687,0.00100687
10,1847.09,0.00145,1,1,1e-05,0.000924352,0.000924352,0.000924352
11,2014.46,0.00116,1,1,0,0.000841835,0.000841835,0.000841835
12,2160.62,0.00248,1,1,1e-05,0.000759318,0.000759318,0.000759318
13,2309.7,0.00115,1,1,0,0.000676802,0.000676802,0.000676802
14,2472.67,0.00028,1,1,0,0.000594286,0.000594286,0.000594286
15,2630.39,0.0007,1,1,0,0.000511769,0.000511769,0.000511769
16,2771.06,9e-05,1,1,0,0.000429253,0.000429253,0.000429253
17,2918.47,0.00022,1,1,0,0.000346736,0.000346736,0.000346736
18,3059.15,0.00047,1,1,0,0.00026422,0.00026422,0.00026422
19,3233.32,0.00025,1,1,0,0.000181703,0.000181703,0.000181703
20,3382.64,0.00061,1,1,0,9.91865e-05,9.91865e-05,9.91865e-05
