epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,28.0985,0.22957,0.99133,1,0.02523,0.000553129,0.000553129,0.000553129
2,55.3577,0.05217,0.99,1,0.02116,0.00105391,0.00105391,0.00105391
3,81.4811,0.04393,0.99467,1,0.02078,0.00149968,0.00149968,0.00149968
4,107.81,0.04035,0.99,1,0.02981,0.00141945,0.00141945,0.00141945
5,133.74,0.02999,0.99133,1,0.01932,0.00133693,0.00133693,0.00133693
6,159.492,0.03126,0.99467,1,0.01114,0.00125442,0.00125442,0.00125442
7,185.378,0.02966,0.996,1,0.00965,0.0011719,0.0011719,0.0011719
8,211.13,0.02313,0.99533,1,0.01179,0.00108938,0.00108938,0.00108938
9,237.091,0.02079,0.994,1,0.01517,0.00100687,0.00100687,0.00100687
10,263.414,0.01998,0.99333,1,0.01478,0.000924352,0.000924352,0.000924352
11,290.469,0.01481,0.992,1,0.0244,0.000841835,0.000841835,0.000841835
12,316.76,0.01636,0.99533,1,0.01167,0.000759318,0.000759318,0.000759318
13,343.787,0.01624,0.99467,1,0.00892,0.000676802,0.000676802,0.000676802
14,370.136,0.01638,0.99733,1,0.00872,0.000594286,0.000594286,0.000594286
15,396.735,0.0139,0.99733,1,0.00721,0.000511769,0.000511769,0.000511769
16,423.498,0.00968,0.99733,1,0.00621,0.000429253,0.000429253,0.000429253
17,450.467,0.01035,0.99667,1,0.00592,0.000346736,0.000346736,0.000346736
18,476.848,0.00939,0.998,1,0.00486,0.00026422,0.00026422,0.00026422
19,503.222,0.0085,0.998,1,0.00555,0.000181703,0.000181703,0.000181703
20,528.929,0.0093,0.998,1,0.006,9.91865e-05,9.91865e-05,9.91865e-05
