epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,51.7017,0.13374,0.99533,1,0.01333,0.000553129,0.000553129,0.000553129
2,103.256,0.02917,0.99467,1,0.01082,0.00108684,0.00108684,0.00108684
3,151.428,0.03265,0.99667,1,0.01139,0.00159855,0.00159855,0.00159855
4,200.392,0.02947,0.99067,1,0.02487,0.00156798,0.00156798,0.00156798
5,251.24,0.01904,0.99867,1,0.00599,0.00153497,0.00153497,0.00153497
6,299.045,0.0167,0.998,1,0.00677,0.00150197,0.00150197,0.00150197
7,346.978,0.01643,0.98067,1,0.06347,0.00146896,0.00146896,0.00146896
8,395.01,0.02629,0.99533,1,0.01059,0.00143595,0.00143595,0.00143595
9,443.057,0.01855,0.99467,1,0.01235,0.00140295,0.00140295,0.00140295
10,490.848,0.01525,0.996,1,0.00714,0.00136994,0.00136994,0.00136994
11,538.881,0.01566,0.99733,1,0.00558,0.00133693,0.00133693,0.00133693
12,587.679,0.01036,0.99733,1,0.00708,0.00130393,0.00130393,0.00130393
13,637.377,0.01258,0.99667,1,0.01299,0.00127092,0.00127092,0.00127092
14,686.204,0.01148,0.99267,1,0.01602,0.00123791,0.00123791,0.00123791
15,737.89,0.01233,0.99933,1,0.00479,0.00120491,0.00120491,0.00120491
16,787.449,0.01458,0.99933,1,0.00494,0.0011719,0.0011719,0.0011719
17,837.146,0.01562,0.99467,1,0.00894,0.00113889,0.00113889,0.00113889
18,888.872,0.00872,0.996,1,0.01065,0.00110589,0.00110589,0.00110589
19,939.344,0.01042,0.994,1,0.01385,0.00107288,0.00107288,0.00107288
20,991.601,0.01226,0.99733,1,0.00674,0.00103987,0.00103987,0.00103987
21,1041.44,0.00835,0.99733,1,0.00536,0.00100687,0.00100687,0.00100687
22,1091.06,0.0103,0.99533,1,0.01243,0.000973861,0.000973861,0.000973861
23,1142.47,0.01017,0.998,1,0.00584,0.000940855,0.000940855,0.000940855
24,1191.55,0.00956,0.996,1,0.00955,0.000907848,0.000907848,0.000907848
25,1240.97,0.00542,0.99933,1,0.00249,0.000874842,0.000874842,0.000874842
26,1291,0.00857,0.99733,1,0.00679,0.000841835,0.000841835,0.000841835
27,1339.94,0.00528,0.99733,1,0.00624,0.000808828,0.000808828,0.000808828
28,1391.05,0.00665,0.99733,1,0.00511,0.000775822,0.000775822,0.000775822
29,1440.46,0.00399,0.998,1,0.00616,0.000742815,0.000742815,0.000742815
30,1489.65,0.00581,0.998,1,0.00597,0.000709809,0.000709809,0.000709809
