epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,53.307,0.11742,0.99533,1,0.01883,0.000553129,0.000553129,0.000553129
2,105.018,0.03529,0.98533,1,0.03182,0.00108684,0.00108684,0.00108684
3,154.595,0.04369,0.994,1,0.01892,0.00159855,0.00159855,0.00159855
4,205.251,0.03134,0.99133,1,0.02145,0.00156798,0.00156798,0.00156798
5,254.198,0.02291,0.99,1,0.01858,0.00153497,0.00153497,0.00153497
6,303.785,0.02047,0.99533,1,0.0116,0.00150197,0.00150197,0.00150197
7,354.622,0.02496,0.99467,1,0.01081,0.00146896,0.00146896,0.00146896
8,403.543,0.02197,0.99067,1,0.01628,0.00143595,0.00143595,0.00143595
9,454.633,0.01822,0.99733,1,0.00776,0.00140295,0.00140295,0.00140295
10,503.12,0.01585,0.99667,1,0.00577,0.00136994,0.00136994,0.00136994
11,552.107,0.01637,0.998,1,0.00519,0.00133693,0.00133693,0.00133693
12,602.519,0.01227,0.998,1,0.00492,0.00130393,0.00130393,0.00130393
13,652.883,0.01444,0.99733,1,0.00447,0.00127092,0.00127092,0.00127092
14,704.19,0.01068,0.99733,1,0.00647,0.00123791,0.00123791,0.00123791
15,754.942,0.00767,0.99667,1,0.01109,0.00120491,0.00120491,0.00120491
16,805.132,0.01197,0.994,1,0.01098,0.0011719,0.0011719,0.0011719
17,855.655,0.01285,0.998,1,0.00827,0.00113889,0.00113889,0.00113889
18,904.82,0.0136,0.99733,1,0.00776,0.00110589,0.00110589,0.00110589
19,954.98,0.01137,0.99333,1,0.01525,0.00107288,0.00107288,0.00107288
20,1003.44,0.01237,0.99867,1,0.00388,0.00103987,0.00103987,0.00103987
21,1053.02,0.00767,0.998,1,0.00433,0.00100687,0.00100687,0.00100687
22,1104.86,0.01045,0.99867,1,0.00416,0.000973861,0.000973861,0.000973861
23,1154.4,0.00515,0.99933,1,0.00472,0.000940855,0.000940855,0.000940855
24,1206.45,0.00892,0.99867,1,0.00378,0.000907848,0.000907848,0.000907848
25,1256.93,0.00535,0.998,1,0.00484,0.000874842,0.000874842,0.000874842
26,1309.86,0.00635,0.99733,1,0.0045,0.000841835,0.000841835,0.000841835
27,1360.99,0.00545,0.994,1,0.01091,0.000808828,0.000808828,0.000808828
28,1412.93,0.00691,0.99733,1,0.00496,0.000775822,0.000775822,0.000775822
29,1462.64,0.00934,0.99867,1,0.00507,0.000742815,0.000742815,0.000742815
30,1512.07,0.00736,0.99867,1,0.00367,0.000709809,0.000709809,0.000709809
31,1562.75,0.00537,0.99867,1,0.00317,0.000676802,0.000676802,0.000676802
32,1611.49,0.00515,0.99867,1,0.00356,0.000643795,0.000643795,0.000643795
33,1662.73,0.0049,0.99867,1,0.00424,0.000610789,0.000610789,0.000610789
34,1712.7,0.00304,0.99867,1,0.00362,0.000577782,0.000577782,0.000577782
35,1764.64,0.00456,0.99867,1,0.00546,0.000544776,0.000544776,0.000544776
36,1814.15,0.00503,0.99867,1,0.00507,0.000511769,0.000511769,0.000511769
37,1862.69,0.00522,0.998,1,0.00495,0.000478762,0.000478762,0.000478762
38,1913.63,0.00193,0.99867,1,0.00262,0.000445756,0.000445756,0.000445756
