epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.99396,0.14153,0.99533,1,0.0117,0.000550615,0.000550615,0.000550615
2,17.2234,0.02186,0.99867,1,0.00543,0.00108438,0.00108438,0.00108438
3,25.2266,0.04065,0.982,1,0.04774,0.00159614,0.00159614,0.00159614
4,34.0315,0.03423,0.99667,1,0.00962,0.00156798,0.00156798,0.00156798
5,41.5707,0.02496,0.99533,1,0.01261,0.00153497,0.00153497,0.00153497
6,48.3878,0.02129,0.996,1,0.00971,0.00150197,0.00150197,0.00150197
7,54.4146,0.01484,0.99533,1,0.01195,0.00146896,0.00146896,0.00146896
8,62.6515,0.01562,0.99667,1,0.00748,0.00143595,0.00143595,0.00143595
9,70.2341,0.01456,0.996,1,0.01078,0.00140295,0.00140295,0.00140295
10,79.4109,0.01572,0.996,1,0.01235,0.00136994,0.00136994,0.00136994
11,88.1863,0.01577,0.99533,1,0.01369,0.00133693,0.00133693,0.00133693
12,95.3134,0.01556,0.99667,1,0.00649,0.00130393,0.00130393,0.00130393
13,103.181,0.01354,0.998,1,0.00681,0.00127092,0.00127092,0.00127092
14,111.617,0.01068,0.99733,1,0.00677,0.00123791,0.00123791,0.00123791
15,118.497,0.01256,0.998,1,0.00888,0.00120491,0.00120491,0.00120491
16,128.042,0.01007,0.998,1,0.00611,0.0011719,0.0011719,0.0011719
17,136.345,0.00899,0.99867,1,0.00749,0.00113889,0.00113889,0.00113889
