epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.51813,0.15957,0.996,1,0.01092,0.000550615,0.000550615,0.000550615
2,11.8109,0.01778,0.998,1,0.00617,0.00108438,0.00108438,0.00108438
3,17.7502,0.02619,0.984,1,0.04432,0.00159614,0.00159614,0.00159614
4,24.4887,0.0195,0.99733,1,0.00893,0.00156798,0.00156798,0.00156798
5,31.0691,0.01881,0.994,1,0.01998,0.00153497,0.00153497,0.00153497
6,38.0724,0.01931,0.996,1,0.01045,0.00150197,0.00150197,0.00150197
7,44.6142,0.01214,0.99267,1,0.01878,0.00146896,0.00146896,0.00146896
8,49.9386,0.01791,0.996,1,0.00893,0.00143595,0.00143595,0.00143595
9,55.1968,0.02226,0.99733,1,0.00466,0.00140295,0.00140295,0.00140295
10,60.6183,0.01142,0.998,1,0.00503,0.00136994,0.00136994,0.00136994
11,66.2267,0.00903,0.996,1,0.01696,0.00133693,0.00133693,0.00133693
12,71.4633,0.01252,0.998,1,0.0074,0.00130393,0.00130393,0.00130393
13,76.9346,0.00949,0.99733,1,0.00689,0.00127092,0.00127092,0.00127092
14,82.4963,0.00792,0.99533,1,0.00764,0.00123791,0.00123791,0.00123791
15,87.7464,0.0087,0.998,1,0.00565,0.00120491,0.00120491,0.00120491
16,93.3068,0.01152,0.99733,1,0.00759,0.0011719,0.0011719,0.0011719
17,99.011,0.00823,0.99733,1,0.00842,0.00113889,0.00113889,0.00113889
